repo;path;name;type;size;created;created_by;modified;modified_by;updated;producerId;moduleId;version;id;url
drivers;@senlab/t/-/@senlab;t-2.5.1.tgz;file;58227;2020-12-11T18:47:50.552Z;jenkins;2020-12-11T18:47:50.502Z;jenkins;2020-12-11T18:47:50.552Z;senlab;t;2.5.1;senlab:t:2;https://repo.int.actility.com/artifactory/drivers/@senlab/t/-/@senlab/t-2.5.1.tgz
drivers;@actility/dl-5tm/-/@actility;dl-5tm-1.1.3.tgz;file;1669;2021-02-02T11:03:52.346Z;jenkins;2021-02-02T11:03:52.3Z;jenkins;2021-02-02T11:03:52.347Z;actility;dl-5tm;1.1.3;actility:dl-5tm:1;https://repo.int.actility.com/artifactory/drivers/@actility/dl-5tm/-/@actility/dl-5tm-1.1.3.tgz
drivers;@actility/dl-sht21/-/@actility;dl-sht21-1.1.3.tgz;file;1508;2021-02-02T11:04:04.413Z;jenkins;2021-02-02T11:04:04.38Z;jenkins;2021-02-02T11:04:04.414Z;actility;dl-sht21;1.1.3;actility:dl-sht21:1;https://repo.int.actility.com/artifactory/drivers/@actility/dl-sht21/-/@actility/dl-sht21-1.1.3.tgz
drivers;@actility/dl-trs21/-/@actility;dl-trs21-1.1.3.tgz;file;1518;2021-02-02T11:04:08.85Z;jenkins;2021-02-02T11:04:08.78Z;jenkins;2021-02-02T11:04:08.853Z;actility;dl-trs21;1.1.3;actility:dl-trs21:1;https://repo.int.actility.com/artifactory/drivers/@actility/dl-trs21/-/@actility/dl-trs21-1.1.3.tgz
drivers;@actility/ascoel-co2th/-/@actility;ascoel-co2th-1.0.0.tgz;file;3252;2020-06-26T08:46:46.405Z;jenkins;2020-06-26T08:46:46.107Z;jenkins;2020-06-26T08:46:46.405Z;actility;ascoel-co2th;1.0.0;actility:ascoel-co2th:1;https://repo.int.actility.com/artifactory/drivers/@actility/ascoel-co2th/-/@actility/ascoel-co2th-1.0.0.tgz
drivers;@actility/cisco-netvox/-/@actility;cisco-netvox-1.0.0.tgz;file;4830;2021-01-19T14:33:05.482Z;jenkins;2021-01-19T14:33:05.388Z;jenkins;2021-01-19T14:33:05.483Z;actility;cisco-netvox;1.0.0;actility:cisco-netvox:1;https://repo.int.actility.com/artifactory/drivers/@actility/cisco-netvox/-/@actility/cisco-netvox-1.0.0.tgz
drivers;@actility/dl-ctd10/-/@actility;dl-ctd10-1.1.3.tgz;file;1676;2021-02-02T11:03:54.751Z;jenkins;2021-02-02T11:03:54.68Z;jenkins;2021-02-02T11:03:54.752Z;actility;dl-ctd10;1.1.3;actility:dl-ctd10:1;https://repo.int.actility.com/artifactory/drivers/@actility/dl-ctd10/-/@actility/dl-ctd10-1.1.3.tgz
drivers;@actility/elsys-generic/-/@actility;elsys-generic-1.0.1.tgz;file;9781;2020-10-13T15:27:06.881Z;jean-baptiste.reich;2020-10-13T15:27:06.773Z;jean-baptiste.reich;2020-10-13T15:27:06.882Z;actility;elsys-generic;1.0.1;actility:elsys-generic:1;https://repo.int.actility.com/artifactory/drivers/@actility/elsys-generic/-/@actility/elsys-generic-1.0.1.tgz
drivers;@actility/adeunis-tic/-/@actility;adeunis-tic-1.1.4.tgz;file;8442;2021-02-02T10:54:30.338Z;jenkins;2021-02-02T10:54:30.283Z;jenkins;2021-02-02T10:54:30.339Z;actility;adeunis-tic;1.1.4;actility:adeunis-tic:1;https://repo.int.actility.com/artifactory/drivers/@actility/adeunis-tic/-/@actility/adeunis-tic-1.1.4.tgz
drivers;@actility/adeunis-pulse2/-/@actility;adeunis-pulse2-1.1.4.tgz;file;6800;2021-02-02T10:54:24.272Z;jenkins;2021-02-02T10:54:24.228Z;jenkins;2021-02-02T10:54:24.272Z;actility;adeunis-pulse2;1.1.4;actility:adeunis-pulse2:1;https://repo.int.actility.com/artifactory/drivers/@actility/adeunis-pulse2/-/@actility/adeunis-pulse2-1.1.4.tgz
